cliente_id,cliente,direccion,estado,codigo_postal,email,telefono,metodo_pago,numero_tarjeta
C-57pn,Jesus Elisa Corona Cordero,Callejon Sur Mena 024 Interior 178 Vieja Yemen,MICH,80516-4991,mmontez@gmail.com,(106)159-5125,tarjeta,4419661710424
C-19Oa,Dulce Maria Reina Pantoja,Diagonal Norte Sauceda 587 Interior 714 Vieja Singapur,HGO,15166,vesparza@yahoo.com,+58(2)4490202845,tarjeta,4825622054334708485
C-96Qh,Maria Luisa Quintana,Ampliacion Galarza 039 Interior 226 Nueva Maldivas,BCS,00924,gabriel96@gmail.com,01043880581,tarjeta,6563357520424383
C-79KD,Ricardo Bianca Tovar,Eje vial Zayas 730 Interior 506 Vieja Republica Popular Democratica de Corea,COL,49624,alta-graciaduran@yahoo.com,(350)267-6164x0432,tarjeta,180039817778996
C-27VI,Pamela Calvillo Rosales,Callejon Sotelo 737 264 Vieja Côte d'Ivoire,HGO,12691-3674,oliver11@hotmail.com,1-663-251-0435x123,tarjeta,6011538056603155
C-88cU,Sr(a). Camila Espinosa,"Diagonal Matias 607 Edif. 845 , Depto. 704 Vieja Guinea",MICH,43813,marisolpelayo@gmail.com,+82(2)1268837733,tarjeta,180004019691686
C-14iX,Sr(a). Luz Laureano,Diagonal Norte Urbina 619 Interior 171 Vieja Kenya,COAH,46248-4908,nicolas27@gmail.com,(034)941-9729x415,efectivo,\"\"
C-55Bb,Andrea Reina Vigil Montez,"Boulevard Norte Centeno 767 Edif. 847 , Depto. 365 Vieja Luxemburgo",DGO,53132-9607,gabriel57@gmail.com,+05(4)6936391914,tarjeta,503826550124
C-90zs,Leticia Dulce Maria Muro Ocampo,Circuito Queretaro 927 331 San Daniel de la Montaña,GRO,04321-8579,vazquezrocio@yahoo.com,+05(1)1676954999,efectivo,\"\"
C-01lP,Maria Luisa Miguel Ángel Urrutia Cabrera,Callejon Norte Rivero 170 769 Nueva Montenegro,COL,92729,castellanosalvaro@yahoo.com,515.679.1031,tarjeta,564380870803
C-27aF,Paola Chacon,"Boulevard Sur Santillan 339 Edif. 011 , Depto. 095 Vieja Burundi",PUE,53908,lcampos@gmail.com,(957)282-7520x24553,efectivo,\"\"
C-98py,Vanesa Judith Caldera,"Circunvalacion de la Garza 297 Edif. 666 , Depto. 381 Vieja Iran",OAX,66567-6301,ines80@yahoo.com,(571)992-0916,tarjeta,4459074243074701534
C-80eT,Ing. Gabriela Corrales,Circunvalacion Barbados 371 072 San Luz los bajos,QRO,29903-6314,zayashermelinda@yahoo.com,(636)316-0155x42290,tarjeta,4434166410347
C-16PE,Sr(a). Bianca de la O,Calzada Tabasco 211 Interior 704 Nueva Letonia,DGO,16232,knino@hotmail.com,00606445888,tarjeta,4403269651792
C-94cy,Reynaldo Segura Ortega,Calzada Zacatecas 013 828 San Ricardo los bajos,MEX,67144,obarrios@hotmail.com,(865)911-2437x9337,tarjeta,2235150386191817
C-39mm,Magdalena Flavio Treviño Tovar,Retorno Sur Ruiz 051 762 San Alonso de la Montaña,TLAX,39836,guardadomariana@gmail.com,886-587-1073x1387,efectivo,\"\"
C-87KN,Mtro. Antonia Canales,"Ampliacion Brasil 689 Edif. 395 , Depto. 675 San Leonel los altos",YUC,68433,cristiannavarrete@hotmail.com,574.407.5593x502,tarjeta,4198805042918561
C-26RV,Raquel Cornejo Cabrera,Cerrada Sanches 755 685 San Rosalia de la Montaña,COAH,42035-4722,saucedazoe@hotmail.com,126-660-7946x1238,tarjeta,4562316954952
C-56NP,Noemi Gonzalo Noriega,Continuacion Baja California 049 Interior 763 Nueva Zambia,MICH,24987-3443,nadianajera@hotmail.com,094.497.8486,efectivo,\"\"
C-05fD,Elisa Isabela Rivas Otero,Corredor Chihuahua 594 Interior 939 Nueva Ecuador,QRO,03766-5827,antoniosolano@hotmail.com,1-435-541-6818x6342,tarjeta,6510251134697068
C-23lg,Gloria Francisco Arellano,Retorno Puebla 161 820 San Sergio de la Montaña,GRO,64966-7124,carrillomaria-del-carmen@yahoo.com,1-479-583-4270x61230,efectivo,\"\"
C-77IQ,Jeronimo Natalia Viera Venegas,"Cerrada Baja California Sur 951 Edif. 275 , Depto. 298 San Maria Elena los altos",COL,72164,iarroyo@yahoo.com,608-494-9092x4247,efectivo,\"\"
C-36Tm,Monica Gallegos Lomeli,Avenida Sudafrica 969 349 Nueva Mongolia,ZAC,96003-8180,jorge-luismojica@gmail.com,+34(2)1251009144,tarjeta,38407122103602
C-22sV,Sr(a). Elias Gallardo,Circunvalacion Mexico 223 609 San Aurelio los bajos,CHIH,56311,jcedillo@hotmail.com,(748)095-6953x558,tarjeta,6552519833822941
C-67nD,Ruby Leonor Osorio Esparza,Cerrada El Salvador 006 Interior 871 San Amalia los altos,NL,33148,bernalana-maria@gmail.com,(616)370-2849,efectivo,\"\"
C-57yy,Georgina Juana Farias Valle,"Diagonal Ghana 484 Edif. 926 , Depto. 819 Vieja Myanmar",NL,17829,daliamontes@hotmail.com,1-077-312-9362,tarjeta,3543085701095183
C-02GE,Guillermo Paulina Ulibarri Rosales,Calzada Zuñiga 028 Interior 979 Vieja Iran,Q. ROO,49578-3605,virginia61@hotmail.com,327-874-8582x03451,tarjeta,30062398160899
C-38Hf,Carlota Yuridia Aguilera Verduzco,Calle Corral 423 990 Vieja Irlanda,TAB,95842,hreyes@gmail.com,257-430-7604,tarjeta,30268131821461
C-11eT,Sr(a). Rene Galvan,"Boulevard Colima 858 Edif. 596 , Depto. 963 San Alvaro de la Montaña",COAH,79514,benitezclemente@hotmail.com,1-380-713-3739,tarjeta,4935324152993
C-23Tp,Debora Emilio Berrios,Boulevard Norte Rincon 222 Interior 449 San Pamela los bajos,MEX,20072,hcastro@yahoo.com,631.432.8717,efectivo,\"\"
C-97Rs,Leonardo Munguia Amaya,Avenida Federacion de Rusia 671 196 San Rosa los altos,MOR,67923-7019,dario16@gmail.com,262.083.8219x622,efectivo,\"\"
C-38us,Zacarias Patiño Frias,Callejon Sur Sarabia 189 860 San Itzel de la Montaña,BC,66369-5264,josefina15@gmail.com,159.836.0132x62317,tarjeta,375634289961321
C-97bl,Mario Nancy Jasso Sosa,"Periferico Sur Burgos 981 Edif. 658 , Depto. 830 Vieja Libano",YUC,94220-2240,raquel66@gmail.com,+26(1)9587958220,tarjeta,3536206809017296
